year,salary,repayment,interest_accrued,remaining_debt
1,35000,900.0,3649.9999999999995,52750.0
2,35700.0,963.0,3850.7499999999995,55637.75
3,36414.0,1027.26,4061.5557499999995,58672.04575
4,37142.28,1092.8051999999998,4283.05933975,61862.29988974999
5,37885.1256,1159.661304,4515.94789195175,65218.586477701734
6,38642.828112,1227.8545300800001,4760.956812872227,68751.68876049395
7,39415.68467424,1297.4116206816,5018.873279516059,72473.15041932842
8,40203.9983677248,1368.3598530952322,5290.539980610974,76395.33054684417
9,41008.0783350793,1440.7270501571368,5576.859129919624,80531.46262660666
10,41828.239901780886,1514.5415911602797,5878.796771742286,84895.71780718867
11,42664.8046998165,1589.832422983485,6197.387399924773,89503.27278412996
12,43518.10079381283,1666.6290714431548,6533.738913241487,94370.3826259283
13,44388.46280968909,1744.9616528720178,6889.037931692765,99514.45890474903
14,45276.23206588287,1824.8608859294582,7264.555500046678,104954.15351886625
15,46181.756707200526,1906.3581036480473,7661.653206877236,110709.44862209544
16,47105.391841344535,1989.485265721008,8081.789749412967,116801.7531057874
17,48047.49967817143,2074.2749710354287,8526.52797672248,123254.00611147446
18,49008.44967173486,2160.760470456137,8997.542446137635,130090.78808715595
19,49988.61866516956,2248.97567986526,9496.627530362384,137338.43993765308
20,50988.39103847295,2338.9551934625656,10025.706115448675,145025.19085963917
21,52008.158859242416,2430.7342973318173,10586.838932753659,153181.295495061
22,53048.322036427264,2524.3489832784535,11182.234571139452,161839.181082922
23,54109.28847715581,2619.835962944023,11814.260219053305,171033.6053390313
24,55191.47424669893,2717.232682202903,12485.453189749283,180801.82584657765
25,56295.30373163291,2816.5773358469614,13198.533286800168,191183.78179753086
26,57421.209806265564,2917.9088825639005,13956.416071219752,202222.2889861867
27,58569.63400239088,3021.267060215179,14762.227095991628,213963.24902196316
28,59741.0266824387,3126.692401419483,15619.317178603309,226455.873799147
29,60935.84721608747,3234.2262494478723,16531.27878733773,239752.92633703686
30,62154.56416040922,3343.91077443683,17501.96362260369,253910.9791852037
31,63397.65544361741,3455.788989925567,18535.50148051987,268990.691675798
32,64665.608552489764,3569.9047697240785,19636.320492333252,285057.1073984072
33,65958.92072353956,3686.30286511856,20809.168840083723,302179.97337337234
34,67278.09913801035,3805.0289224209314,22059.13805625618,320434.0825072076
35,68623.66112077056,3926.12950086935,23391.688023026152,339899.6410293644
36,69996.13434318597,4049.6520908867374,24812.673795143597,360662.66273362126
37,71396.05703004969,4175.645132704472,26328.37437955435,382815.39198047115
38,72823.97817065069,4304.158035358562,27945.52361457439,406456.75755968696
39,74280.4577340637,4435.241196065733,29671.343301857145,431692.85966547835
40,75766.06688874499,4568.946019987048,31513.578755579918,458637.4924010712
